provincia_nombre,Casos,Porcentaje Nacion(%),Intervalo de Tiempo,Departamento,Departamento(#),Procentaje Pvcial(%),Masculino(#),Masculino(%),Intervalo de Tiempo(M),Femenino(#),Femenino(%),Intervalo de Tiempo(F),Modalidad,Modalidad(#),Modalidad(%),Lugar,Lugar(#),Lugar(%)
BUENOS AIRES,6089,29.32,0 days 08:38:00,LA MATANZA,691,11.348333059615701,4873,80.03,0 days 10:47:17,1216,19.97,1 days 19:15:33,Ahorcamiento,3488,57.28,Domicilio particular,4041,66.37
SANTA FE,2051,9.88,1 days 01:38:20,ROSARIO,661,32.228181374939055,1606,78.3,1 days 08:44:52,445,21.7,4 days 22:22:42,Ahorcamiento,1466,71.48,Domicilio particular,1686,82.2
CORDOBA,1454,7.0,1 days 12:10:24,CAPITAL,441,30.330123796423656,1140,78.4,1 days 22:08:45,314,21.6,6 days 23:55:24,Ahorcamiento,1013,69.67,Domicilio particular,1153,79.3
ENTRE RIOS,1280,6.16,1 days 17:05:41,PARANA,336,26.25,1027,80.23,2 days 03:13:41,253,19.77,8 days 16:34:17,Ahorcamiento,975,76.17,Domicilio particular,994,77.66
CIUDAD AUTONOMA DE BUENOS AIRES,1236,5.95,1 days 18:33:31,COMUNA 1,129,10.436893203883495,851,68.85,2 days 13:50:07,385,31.15,5 days 16:52:30,Ahorcamiento,441,35.68,Domicilio particular,1045,84.55
MENDOZA,1179,5.68,1 days 20:37:05,GUAYMALLEN,174,14.75826972010178,914,77.52,2 days 09:34:06,265,22.48,8 days 07:05:27,Ahorcamiento,870,73.79,Domicilio particular,941,79.81
SALTA,1074,5.17,2 days 00:59:03,CAPITAL,460,42.83054003724395,846,78.77,2 days 14:12:04,228,21.23,9 days 15:32:31,Ahorcamiento,957,89.11,Domicilio particular,871,81.1
TUCUMAN,734,3.53,2 days 23:42:19,CAPITAL,282,38.41961852861036,605,82.43,3 days 15:01:12,129,17.57,17 days 02:37:30,Ahorcamiento,613,83.51,Domicilio particular,616,83.92
SANTIAGO DEL ESTERO,688,3.31,3 days 04:30:24,CAPITAL,238,34.593023255813954,565,82.12,3 days 21:11:29,123,17.88,17 days 22:49:11,Ahorcamiento,527,76.6,Domicilio particular,538,78.2
CHACO,639,3.08,3 days 10:22:57,SAN FERNANDO,302,47.26134585289515,515,80.59,4 days 06:15:25,124,19.41,17 days 19:19:01,Ahorcamiento,490,76.68,Domicilio particular,504,78.87
MISIONES,537,2.59,4 days 02:03:35,CAPITAL,100,18.6219739292365,419,78.03,5 days 05:44:30,118,21.97,18 days 17:13:51,Ahorcamiento,404,75.23,Domicilio particular,435,81.01
CORRIENTES,412,1.98,5 days 07:53:00,CAPITAL,135,32.76699029126214,342,83.01,6 days 10:08:06,70,16.99,31 days 17:44:21,Ahorcamiento,303,73.54,Domicilio particular,349,84.71
FORMOSA,383,1.84,5 days 17:35:30,FORMOSA,190,49.60835509138381,289,75.46,7 days 14:30:00,94,24.54,23 days 13:09:41,Ahorcamiento,299,78.07,Domicilio particular,320,83.55
NEUQUEN,366,1.76,6 days 00:00:00,CONFLUENCIA,216,59.01639344262295,305,83.33,7 days 04:53:41,61,16.67,36 days 12:00:00,Ahorcamiento,288,78.69,Domicilio particular,281,76.78
CHUBUT,364,1.75,6 days 00:47:36,ESCALANTE,137,37.637362637362635,325,89.29,6 days 18:13:20,39,10.71,57 days 15:09:28,Ahorcamiento,277,76.1,Domicilio particular,291,79.95
SAN LUIS,348,1.68,6 days 07:28:11,LA CAPITAL,152,43.67816091954023,274,78.74,8 days 00:31:39,74,21.26,30 days 00:00:00,Ahorcamiento,265,76.15,Domicilio particular,265,76.15
SAN JUAN,308,1.48,7 days 03:12:19,RAWSON,63,20.454545454545457,263,85.39,8 days 08:36:38,45,14.61,49 days 18:32:44,Ahorcamiento,219,71.1,Domicilio particular,244,79.22
JUJUY,285,1.37,7 days 17:04:14,DR. MANUEL BELGRANO,105,36.84210526315789,211,74.04,10 days 10:17:09,74,25.96,30 days 00:00:00,Ahorcamiento,250,87.72,Domicilio particular,230,80.7
RIO NEGRO,273,1.31,8 days 01:14:07,GENERAL ROCA,104,38.095238095238095,219,80.22,10 days 01:06:03,54,19.78,41 days 07:41:53,Ahorcamiento,200,73.26,Domicilio particular,214,78.39
LA RIOJA,252,1.21,8 days 17:24:09,CAPITAL,137,54.36507936507936,207,82.14,10 days 15:08:44,45,17.86,49 days 18:32:44,Ahorcamiento,224,88.89,Domicilio particular,183,72.62
CATAMARCA,247,1.19,8 days 21:39:31,CAPITAL,112,45.34412955465587,193,78.14,11 days 09:45:00,54,21.86,41 days 07:41:53,Ahorcamiento,207,83.81,Domicilio particular,181,73.28
SANTA CRUZ,240,1.16,9 days 03:54:59,DESEADO,99,41.25,196,81.67,11 days 05:32:18,44,18.33,50 days 22:19:32,Ahorcamiento,182,75.83,Domicilio particular,196,81.67
LA PAMPA,237,1.14,9 days 06:42:43,CENTRO (SANTA ROSA),136,57.383966244725734,192,81.01,11 days 11:11:00,45,18.99,49 days 18:32:44,Ahorcamiento,152,64.14,Domicilio particular,184,77.64
"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",92,0.44,24 days 01:34:57,RIO GRANDE,55,59.78260869565217,75,81.52,29 days 14:16:13,17,18.48,136 days 21:00:00,Ahorcamiento,63,68.48,Domicilio particular,66,71.74
